# flake8 findings this fork has inherited but not yet cleaned up.
# Regenerate with: python scripts/check_flake8_baseline.py --update
# Format: <path> <code> <count>   (line numbers intentionally omitted)

anylabeling/app.py                                                       B907 1
anylabeling/app.py                                                       C901 1
anylabeling/app.py                                                       F841 1
anylabeling/app_info.py                                                  B907 2
anylabeling/services/auto_labeling/__base__/clip.py                      B006 2
anylabeling/services/auto_labeling/__base__/clip.py                      B008 1
anylabeling/services/auto_labeling/__base__/clip.py                      F811 1
anylabeling/services/auto_labeling/__base__/yolo.py                      B907 2
anylabeling/services/auto_labeling/__base__/yolo.py                      C901 1
anylabeling/services/auto_labeling/engines/build_trt_engine.py           B907 1
anylabeling/services/auto_labeling/model.py                              B009 1
anylabeling/services/auto_labeling/model.py                              C901 1
anylabeling/services/auto_labeling/model_manager.py                      F841 1
anylabeling/services/auto_labeling/pose/rtmo_onnx.py                     C416 1
anylabeling/services/auto_labeling/segment_anything_2.py                 C901 2
anylabeling/services/auto_training/ultralytics/exporter.py               B001 1
anylabeling/services/auto_training/ultralytics/exporter.py               E722 1
anylabeling/services/auto_training/ultralytics/general.py                C901 1
anylabeling/services/auto_training/ultralytics/trainer.py                C901 1
anylabeling/views/common/converter.py                                    B907 2
anylabeling/views/common/converter.py                                    C901 1
anylabeling/views/common/converter.py                                    F541 52
anylabeling/views/common/converter.py                                    F841 2
anylabeling/views/labeling/ai/style.py                                   B902 1
anylabeling/views/labeling/label_converter.py                            C901 2
anylabeling/views/labeling/label_converter.py                            E226 2
anylabeling/views/labeling/label_widget.py                               C408 1
anylabeling/views/labeling/label_widget.py                               C420 2
anylabeling/views/labeling/label_widget.py                               C901 1
anylabeling/views/labeling/label_widget.py                               F541 1
anylabeling/views/labeling/label_widget.py                               F841 2
anylabeling/views/labeling/project_settings.py                           C420 1
anylabeling/views/labeling/settings/controller.py                        B042 1
anylabeling/views/labeling/settings/controller.py                        B907 2
anylabeling/views/labeling/settings/controller.py                        C901 1
anylabeling/views/labeling/settings/dialog.py                            F541 1
